accessno,acqvalue,appnotes,appraisor,authorx,callno,caption,catby,catdate,classes,collection,conddate,condexam,condition,condnotes,controlno,copyno,creator,credit,curvalmax,curvalue,dataset,date,descrip,dispvalue,earlydate,edition,event,exhibitno,exhlabel1,exhlabel2,exhlabel3,exhlabel4,exhstart,flagdate,flagnotes,flagreason,gparent,homeloc,imageno,inscomp,insdate,insphone,inspremium,insrep,insvalue,invnby,invndate,isbn,issn,language,latdeg,latedate,lccn,legal,loancond,loandue,loaninno,loanno,locfield1,locfield2,locfield3,locfield4,locfield5,locfield6,longdeg,maintcycle,maintdate,maintnote,notes,objectid,objname,objname2,objname3,objnames,oldno,otherno,parent,people,physdesc,policyno,provenance,publisher,pubnotes,pubplace,recas,recdate,recfrom,relnotes,series,seriesx,site,siteno,sitesadded,spinelbl,status,statusby,statusdate,sterms,subjects,tempauthor,tempby,tempdate,temploc,tempnotes,tempreason,tempuntil,title,titlex,tlocfield1,tlocfield2,tlocfield3,tlocfield4,tlocfield5,tlocfield6,udf1,udf10,udf11,udf12,udf13,udf14,udf15,udf16,udf17,udf18,udf19,udf2,udf20,udf21,udf22,udf3,udf4,udf5,udf6,udf7,udf8,udf9,updated,updatedby,valuedate,webinclude,webrights,ppid
7332,0.00,,,,,,,1974-03-15,"Communication Artifact
Documentary Artifact",Dist # 69,,,,,,0,,,0.00,0.00,,,"7.5""x5.25""x.625"" black white brown and blue paper cardboard and leather book marked "" Listed 3/15/74 Bk 70 Essentials of English Lower Grades Peason and Kirchway Dist 69"" & "" Property of Dist #69 no 12 1081 & ""46-10ED-95 Essentials of English Lower Grades Donor Dist # 69  -Picture inside of ""the Brownie and the Doormouse"" Title page is missing.  Old # 46-10ED-95",Good,0,,,0,,,,,,,,,8: Communication Artifact,"Research RM, Book Case 5, Shelf -2",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,1974-03-15,"Object is marked and has a category card.
object inventoried 2003",,7332,Book,,,,,,Documentary Artifact,Roseau Community Schools,,,,,,,Bequest,03151974,Dist # 69,,,,RCHS,,,,OK,"Swanson, Edie",2019-11-14,"book
lesson
English
lower
grades","book
lesson
English
lower
grades",,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2020-01-30T12:31:34,Unknown,,false,,C57E4617-4CCF-49DF-AA3C-286840372751
7428,0.00,,,,,,,1986-08-09,"Communication Artifact 
Documentary Artifact ",Deb Haugen for Roseau Public Library,,,Good,,,0,,,0.00,0.00,,unknown,"6.125""x4.5""x.25"" blue red, off-white, green, black and gold paper cardboard and leather booked marked "" E Klima"" ' Gebethuch zum fleikigen gebraudh fur unlere lieben kindes Reading, Pa. Verlag der pilger - buchbandlung"" on cover Picture of a child in bed with book on lap- church steeple and river in background- Possibly a religious book in German.",Good,0,,,0,,,,,,,,,8: Communication Artifact,"Archive Rm, shelf 23 A",2,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,1986-08-09,"Object is marked and has a category card.
object inventoried 2003",,7428,Book,,,,,,Documentary Artifact,Roseau Public Library,,,,,,,Bequest,08091986,Deb Haugen for Roseau Public Library,,,,RCHS,,,,OK,Mariah,2016-12-27,Book,Book,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2017-01-13T10:23:21,,,false,,9A7A117E-8AD3-4B77-AF10-002721057377
7429,0.00,,,,,,,1986-08-09,,Deb Haugen for Roseau Public Library,,,Good,,,0,,,0.00,0.00,,1899,"7.125""x4.75"" brown black and tan paper leather and cardboard book marked "" Jupiter- Jove-Zeus Minerva= pallos- Athens Athena the goddess wisdon and war Kinges J ?Zeus Kind and the god and father of men, In odegard Buxton N,Dak H\Johnnie Odegard Fargo N.Dak 25"" inside front cover- Inside back cover ""book 10 storied Homer Adtics cap 11 Oedpeus Church 263 price of jection"" "" Riverside Literature Seried number 43 Bryant's Ulysses among the phalaecians Houghton, Miffin & Co"" on front cover on binding- Bryant's Ulysses among the Phaeacians""",Good,1899,,,0,,,,,,,,,8: Communication Artifact,bkrm sh 1A,0,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,1986-08-09,"Object is marked and has a category card.
object inventoried 2003",,7429,Book,,,,,,Documentary Artifact,,,,,,,,Bequest,08091986,Deb Haugen for Roseau Public Library,,,,RCHS,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2011-10-25T16:42:38,Unknown,,false,,0821CCD6-20DC-4E2C-8313-259055424760
7432,0.00,,,,,,,1986-08-09,"Communication Artifact 
Documentary Artifact ",Deb Haugen for Roseau Public Library,,,Fair,,,0,,,0.00,0.00,,1885,"8""x5.25"" Black brown red tan and white leather paper and cardboard book marked ""C Hagen LOF Anton Hagen Bode Iowa"" cover has a swirled red, tan and black design ""Laesbog I modermaalet""",Fair,1885,,,0,,,,,,,,,8: Communication Artifact,"Archive Rm, shelf 23 A, Box 2",2,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,1986-08-09,"Object is marked and has a category card.
object inventoried 2003",,7432,Book,,,,,,Documentary Artifact,Roseau Public Library,,,,,,,Bequest,08091986,Deb Haugen for Roseau Public Library,,,,RCHS,,,,OK,Mariah,2016-12-27,Book,Book,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2017-01-13T10:24:40,,,false,,72454066-AFAC-4C1E-AA9A-084037642532
7433,0.00,,,,,,,1986-08-09,,Deb Haugen for Roseau Public Library,,,Good,,,0,,,0.00,0.00,,1898,"6.625""x5"" green black and white paper leather and cardboard book marked "" jessie A. Anderson Pekan, Minn July 1903"" "" Higher lessons in English Reed & Kellogg Maynard, Merrill & Co"" on binding "" Higher Lessons in English Reed & Kellogg New Edition 1896' on cover.",Good,1898,,,0,,,,,,,,,8: Communication Artifact,bkrm sh 1A,0,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,1986-08-09,"Object is marked and has a category card.
object inventoried 2003",,7433,Book,,,,,,Documentary Artifact,,,,,,,,Bequest,08091986,Deb Haugen for Roseau Public Library,,,,RCHS,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2011-10-25T16:44:58,Unknown,,false,,ABE088F3-1729-4310-AD9B-501419226077
7435,0.00,,,,,,,1986-08-09,,Deb Haugen for Roseau Public Library,,,Good,,,0,,,0.00,0.00,,1909,"7.25""x5.25"" Brown burgundy white and black paper leather and cardboard book marked "" Julia Morek Rockingham, Pa. Box 142 Sixth grade no. 9"" - ""01318"" ' Complete Arithmatic"" Samual Hamilton"" on cover",Good,1909,,,0,,,,,,,,,8: Communication Artifact,bkrm sh 1A,0,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,1986-08-09,"Object is marked and has a category card.
object inventoried 2003",,7435,Book,,,,,,Documentary Artifact,,,,,,,,Bequest,08091986,Deb Haugen for Roseau Public Library,,,,RCHS,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2011-10-25T16:45:17,Unknown,,false,,388116DB-B9D2-43F9-AFCE-304347751800
7457,0.00,,,,,,,1986-06-18,,Tania Hemmingson,,,Fair,,,0,,,0.00,0.00,,1910,"7.125""x5.75""x1.625"" purple, black, white and yellow paper leather and cardboard book Marked "" I enjoy sharing my books as I do my friends, asking only that you treat them well and see them safely home Tania""   "" John Albert Johnson"" By Frank A. Day & Theodore M Knappen Published by forbes & Company Brought in by Millard Jenson",Fair,1910,,,0,,,,,,,,,8: Communication Artifact,bkrm sh 5,0,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,1986-06-18,"Object is marked and has a category card.
object inventoried 2003",,7457,book,,,,,,Documentary Artifact,,,,,,,,Bequest,06181986,"Hemmingson, Tania",,,,RCHS,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2011-10-25T16:48:32,Unknown,,false,,4C95144C-B621-4F45-A1E8-776761140552
7458,0.00,,,,,,,1986-06-18,"Communication artifact
Documentary Artifact",Tania Hemmingson,,,Good,,,0,,,0.00,0.00,,1927,"7.75""x5.25""x1.375"" gray red white black and yellow paper leather and cardboard book marked "" I enjoys sharing my books as I do my friends, asking only that you treat them well and them them safely home Tania"" "" Giants in the Earth a Saga of the Prairie"" By O.E. Rolvaag Harper and brothers- New York
Brought in by Millard Jenson
O.E.Rolvaag was father to  Mrs. Ella Valborg Tweet and Karl Rolvaag-31st Govenor of MN",Good,1927,,,0,,,,,,,,,8: Communication Artifact,"Research RM, Book Case 5, Shelf-3",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,1986-06-18,"Object is marked and has a category card.
object inventoried 2003",,7458,Book,,,,,,Documentary Artifact,"Hemmingson, Tania",,,,,,,Bequest,06/18/1986,"Hemmingson,Tania",,,,RCHS,,,,OK,"Swanson, Edie",2019-11-21,"book
Rolvagg
O.E.","book
Rolvagg
O.E. ",,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2020-01-30T13:18:06,Unknown,,false,,2495A6B8-B59B-4F3C-959A-192574213488
7618,0.00,,,,,,,1986-10-31,,Sigfus Olafson,,,Good,,,0,,,0.00,0.00,,1959,"9.375""x6.25""x1"" maroon gold black and white leather cardboard and paper book 'The Geology of Cook County, Minnesota"" by Grout Sharp Schwartz- Published bu Minnesota Press. 17 geological maps in a pocket inside back cover.",Good,1959,,,0,,,,,,,,,8: Communication Artifact,bkrm sh 1A,0,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,1986-10-31,"Object is marked and has a category card.
object inventoried 2003",,7618,Book,,,,,,Documentary Artifact,,,,,,,,Bequest,10311986,Sigfus Olafson,,,,RCHS,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2011-10-26T11:53:24,Unknown,,false,,67FDD34F-49AE-497D-9D82-103493374216
7620,0.00,,,,,,,1986-10-31,,Sigfus Olafson,,,Good,,,0,,,0.00,0.00,,1980,"9.5""x6.875""x.25"" blue black and white paper book marked "" happy birthday! Brother Oliver From Alice magnuson Sept 17, 1983"" ""Sandridge Settlers"" by Roy Geroy -Published by the Badger Enterprise",Good,1980,,,0,,,,,,,,,8: Communication Artifact,"Research RM, Book Case 1, Shelf-1",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,1986-10-31,"Object is marked and has a category card.
object inventoried 2003",,7620,Book,,,,,,Documentary Artifact,,,,,,,,Bequest,10311986,Sigfus Olafson,,,,RCHS,,,,OK,"Swanson, Edie",2019-12-02,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2019-12-12T11:53:51,Unknown,,false,,24425EB1-49D1-4D0F-9D72-785320162345
7674,0.00,,,,,,,1986-10-21,,Robert Thacker,,,Fair,,,0,,,0.00,0.00,,1876,"5""x7.625""x.75"" purple gold black and white paper leather and cardboard book marked ""E.Cl florance, Mrs Florance the Confessional"" - ""the priest, the woman and the Confessional"" by Father Chiniguy. Water stains on cover and pages",Fair,1876,,,0,,,,,,,,,8: Communication Artifact,Bkrm sh 1 A,0,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,1986-10-21,"Object is marked and has a category card.
object inventoried 2003",,7674,book,,,,,,Documentary Artifact,,,,,,,,Donation,10/21/1986,"Thacker, Robert",,,,RCHS,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2011-10-26T12:54:59,Unknown,,false,,645DDED0-3278-47D6-8864-561239345727
8572,0.00,,,,,,,,"Communication artifact
Documentary Artifact",Malung County Library,,,Good,,,0,,,0.00,0.00,,1976,"10.125""x7.375""x1.5"" blue, brown, gold, yellow, black and white paper and leather book marked with a tag on inside front ""8/13/1980 Malung Ur en sockens historia del 1-4 A gift from Malung County Library to Roseau County Historical society (a part of Malungs' history Edition 1-4)"" - "" Malung Ur en sockens historia"" (From one parished history) by Tredje Delen - Has a book jacket sheet in book on pg 382"" p.382 He bought the Lisell place"" In Swedish.",Good,1976,,,0,,,,,,,,,8: Communication Artifact,"Research RM, Book Case 3, Shelf 1",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,,"Object is marked and has a category card.
object inventoried 2003",,8572.1,book,,,,,,Documentary Artifact,Malung County Library,,,,,,,Donation,08131980,Malung County Library,,,,RCHS,,,,OK,"Swanson, Edie",2020-01-14,"book
hardcover
Malung
Sweden
history","book
hardcover
Malung
Sweden
history",,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2020-01-14T12:24:36,Unknown,,false,,40CE1722-C40F-4F46-80D2-189551094019
8573,0.00,,,,,,,1980-08-13,"Communication artifact
Documentary Artifact",Malung County Library,,,Good,,,0,,,0.00,0.00,,1971,"7.375""x10.125""x1.25"" blue, gold, black, white, green, yellow and red paper and leather book marked with a tag on the the inside front ""8/13/1980 Ur en sockens historia del  1-4. A gift from Malung county Library to Roseau County Historical society (a part of Malung's history edition 1-4)""  ""Maling Ur en sockens historia (from one parishes history) by Forsta Delen. Has a book jacket.  In Swedish",Good,1971,,,0,,,,,,,,,8: Communication Artifact,"Research RM, Book Case 3, Shelf -1",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,1980-08-13,"Object is marked and has a category card.
object inventoried 2003",,8573,Book,,,,,,Documentary Artifact,Malung County Library,,,,,,,Donation,08131980,Malung County Library,,,,RCHS,,,,OK,"Swanson, Edie",2020-01-14,"book
hardcover
Malung
Sweden
history","book
hardcover
Malung
Sweden
history",,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2020-01-14T12:26:09,Unknown,,false,,E98B5DE1-0D66-4D28-83A7-264690800593
8574,0.00,,,,,,,1980-08-13,"Communication Artifact
Documentary Artifact",Malung County Library,,,Good,,,0,,,0.00,0.00,,1977,"7.375""x10.125""x1.25"" blue, gold, black, white, green, yellow and red paper and leather book marked with a tag on the the inside front ""8/13/1980 Ur en sockens historia del  1-4. A gift from Malung county Library to Roseau County Historical society (a part of Malung's history edition 1-4)""  ""Maling Ur en sockens historia (from one parishes history) by Fjarde Delen. Has a book jacket.  In Swedish",Good,1977,,,0,,,,,,,,,8: Communication Artifact,"Research RM, Book Case 3, Shelf-1",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,1980-08-13,"Object is marked and has a category card.
object inventoried 2003",,8574,Book,,,,,,Documentary Artifact,Malung County Library,,,,,,,Donation,08131980,Malung County Library,,,,RCHS,,,,OK,"Swanson, Edie",2020-01-14,"book
hardcover
Malung
Sweden
history","book
hardcover
Malung
Sweden
history",,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2020-01-14T12:25:17,Unknown,,false,,CF13D425-415C-4617-9127-383540582155
8575,0.00,,,,,,,1980-08-13,"Communication artifact
Documentary Artifact",Malung County Library,,,Good,,,0,,,0.00,0.00,,1973,"7.375""x10.125""x1.25"" blue, gold, black, white, and yellow  paper and leather book marked with a tag on the the inside front ""8/13/1980 Ur en sockens historia del  1-4. A gift from Malung county Library to Roseau County Historical society (a part of Malung's history edition 1-4)""  ""Maling Ur en sockens historia (from one parishes history) by Andra Delen. Has a book jacket.  In Swedish",Good,1973,,,0,,,,,,,,,8: Communication Artifact,"Research RM, Book Case 3, Shelf -1",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,1980-08-13,"Object is marked and has a category card.
object inventoried 2003",,8575.1,Book,,,,,,Documentary Artifact,Malung County Library,,,,,,,Donation,08131980,Malung County Library,,,,RCHS,,,,OK,"Swanson, Edie",2020-01-14,"book
hardcover
Malung
Sweden
history","book
hardcover
Malung
Sweden
history",,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2020-01-14T12:23:57,Unknown,,false,,BA4B6900-D088-4762-9ABD-803055348015
8576,0.00,,,,,,,1980-08-13,"Communication Artifact
Documentary Artifact",Malung County Library,,,Good,,,0,,,0.00,0.00,,1982,"7.375""x10""x1.5"" maroon, gold, black, white, yellow brown and gray paper and leather book marked on title page cover "" gava fill vaia vanner i Amerika. Hugo Gustafson "" Lima och Transtrand Ur tua socknars historia"" by Myjoarn och Smide 
2 tags in gook 1-"" Malung Community Library picture of P.O. Fryklund in black and white od museum building Limmer and Transtrand Sweden brought in by Sylvia Lisell"" 2 - "" Malung Kommersbibliotech 78200 Malung, Sweden",Good,1982,,,0,,,,,,,,,8: Communication Artifact,"Research RM, Book Case 3, Shelf -1",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,1980-08-13,"Object is marked and has a category card.
object inventoried 2003",,8576,Book,,,,,,Documentary Artifact,Malung County Library,,,,,,,Donation,08131980,Malung County Library,,,,RCHS,,,,OK,"Swanson, Edie",2020-01-14,"book
hardcover
Swedish
history","book
hardcover
Swedish
history",,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2020-01-14T12:26:47,Unknown,,false,,AA7BB1D8-85F6-454F-B7C4-628228111750
8581,0.00,,,,,,,,"Communication Arrtifact
Documentary Artifact
",Unknown,2018-01-08,"Swanson, Edie",good,,,0,,,0.00,0.00,,1979,"14.125""x11.125""x1.125 Navy blue, gold, black, and white paper and leather atlas marked ""30.00"" inside front cover "" an Illustrated Historical atlas of the State of Minnesota"" a reproduction by Unigraphics, Inc. 1401 North Fares Avenue Evansville, Indiana 47711",Good,1979,,,0,,,,,,,,,8: Communication Artifact,"Research RM, Atlas Stand",2,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,2018-01-08,"Object is marked and has a category card.
object inventoried 2003",,8581,Atlas,,,,,,Documentary Artifact,Unknown,,,,,,,Donation,unknown,Unknown,,,,RCHS,,,,OK,"Swanson, Edie",2018-01-08,atlas,atlas,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2018-01-11T14:31:06,Unknown,,false,,6199F569-D79C-46C4-8488-948837649640
8585,0.00,,,,,,,,,Unknown,,,,,,0,,,0.00,0.00,,1977,"11.125""x8.5"" white, maroonm red, blue, green, black, pink, gold and brown paper book ""Beads: Their use by Upper Great Lakes Indians"" Grand Rapids Public Museum",Good,1977,,,0,,,,,,,,,8: Communication Artifact,Research Lib,0,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,,"Object is marked and has a category card.
object inventoried 2003",,8585,book,,,,,,Documentary Artifact,,,,,,,,Donation,unknown,Unknown,,,,RCHS,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2011-11-01T12:06:39,Unknown,,false,,B9C5FE1A-0091-4A24-BF54-678301760300
8587,0.00,,,,,,,,,Unknown,,,,,,0,,,0.00,0.00,,1979,"8.25""x10.75"" black tand and white paper book marked ""12.95"" inside front cover page "" A Handbook of Minnesota Prehistoric Ceramics"" compiled and edited by Scott F. Afinson Published by the board of Directors od the Minnesota Archeaological society.",Good,1979,,,0,,,,,,,,,8: Communication Artifact,Research Lib,0,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,,"Object is marked and has a category card.
object inventoried 2003",,8587,Book,,,,,,Documentary Artifact,,,,,,,,Donation,unknown,Unknown,,,,RCHS,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2011-11-01T12:07:21,Unknown,,false,,846280E6-317E-443D-89AD-893473773128
8591,0.00,,,,,,,,,Unknown,,,,,,0,,,0.00,0.00,,1969,"4.125""x7""x.875"" black yellowed and brown paper book ""Orinthology and INtroduction "" by Austin L. Rand Published but the New American Library, Inc. cover is missing. book is about birds.",Good,1969,,,0,,,,,,,,,8: Communication Artifact,Research Lib,0,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,,"Object is marked and has a category card.
object inventoried 2003",,8591,book,,,,,,Documentary Artifact,,,,,,,,Donation,unknown,Unknown,,,,RCHS,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2011-11-01T12:08:35,Unknown,,false,,77EC66B5-07FE-459F-BE55-208022158490
8592,0.00,,,,,,,,,Unknown,,,,,,0,,,0.00,0.00,,1939,"5.25""x7.75""x1.0"" tan maroon, black and white paper and leather book marked "" Jr. High Sci Elementary School State Teachers College Bemidji, Minnesota office copy"" inside front cover. ""Working with Nature"" by Eleanor King and Wellmer Pessels Published by Harper & Brothers.",Good,1939,,,0,,,,,,,,,8: Communication Artifact,Research Lib,0,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,,"Object is marked and has a category card.
object inventoried 2003",,8592,book,,,,,,Documentary Artifact,,,,,,,,Donation,unknown,Unknown,,,,RCHS,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2011-11-01T12:08:48,Unknown,,false,,505B76CB-4DC6-4C65-88EB-629464400010
8594,0.00,,,,,,,,"Communication Artifact
Documentary Artifact",James F. Richards Jr.,,,,,,0,,,0.00,0.00,,1975,"8.375""x11""x.25"" blue, white black, brown, orange and gold paper booksmarked in one book ""I enjoyed bring a guest at the Roseau Museum Jim___?___ 20 May 81' 2 copies of ""a Treasury of Norwegian Folk Art in America"" by donald E. gilbertson and James F. richards, Jr.; Photography by william Schmid Published by Tin Chicken Antiques   3 books",Good,1975,,,0,,,,,,,,,8: Communication Artifact,"Research RM, Book Case 3, Shelf -1",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,,"Object is marked and has a category card.
object inventoried 2003",,8594,book,,,,,,Documentary Artifact,"Richards, Jr., James F",,,,,,,Bequest,05/20/1981,James F. Richards Jr,,,,RCHS,,,,OK,"Swanson, Edie",2020-01-14,"book
Norwegian
Folk
Art America","book
Norwegian
Folk
Art America",,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2020-01-14T15:46:32,Unknown,,false,,388E4D2D-CAB0-42CD-BE49-412759647122
8605,0.00,,,,,,,,"Communication Artifact
Documentary Artifact",Unknown,,,,,,0,,,0.00,0.00,,1976,"9""x5.875""x.625"" gray, green, white and black paper book ""Rainy River country"" by Grace Lee Nute Published by the Minn. Historical Society.",Good,1976,,,0,,,,,,,,,8: Communication Artifact,"Research RM, Book Case 3, Shelf -2",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,,"Object is marked and has a category card.
object inventoried 2003",,8605,Book,,,,,,Documentary Artifact,Unknown,,,,,,,Bequest,unknown,unknown,,,,RCHS,,,,OK,"Swanson, Edie",2020-01-13,"book 
softcover
Rainy
River
Country
Northwest
Angle
area","book 
softcover
Rainy
River
Country
Northwest
Angle
area",,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2020-01-13T12:26:38,Unknown,,false,,F27FFFC4-12C3-4142-858E-886031633047
8606,0.00,,,,,,,,"Communication artifact
Documentary Artifact",Unknown,,,,,,0,,,0.00,0.00,,1986,"11""x8.5""x.375"" red, black and white paper book marked ""6.75""- inside front ' the Red Pine Trails Oxcart route Between St. Paul and the Selkirk Settlement 1820-1870"" by Rhoda R. Gilman, Carolyn Gilman, Deborah M. Schultz. Published by Minn Historical Society.",Good,1986,,,0,,,,,,,,,8: Communication Artifact,"Research RM, Book Case 4, Shelf -2",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,,"Object is marked and has a category card.
object inventoried 2003",,8606,book,,,,,,Documentary Artifact,Unknown,,,,,,,Bequest,unknown,unknown,,,,RCHS,,,,OK,"Swanson, Edie",2019-12-19,"book
oxcart
trails
1820-1870
Red
River","book
oxcart
trails
1820-1870
Red
River",,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2020-01-27T14:59:31,Unknown,,false,,20FE07D0-50A2-47A2-8576-371976946423
8607,0.00,,,,,,,,"Communication Artifact
Documentary Artifact",Unknown,,,Good,,,0,,,0.00,0.00,,1972,"10.75""x8"".5 brown black and white paper book ""Boyhood on the Upper Mississippi a Reminicent Letter"" by Charles A. Lindbergh. Published by Minn Historical Society",Good,1972,,,0,,,,,,,,,8: Communication Artifact,"Reseach RM, Book Case 4, Shelf -3",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,,"Object is marked and has a category card.
object inventoried 2003",,8607,book,,,,,,Documentary Artifact,Unknown,,,,,,,Bequest,unknown,unknown,,,,RCHS,,,,OK,"Swanson, Edie",2020-01-22,"book
Lindberg
Charles
boyhood
Minnesota","book
Lindberg
Charles
boyhood
Minnesota",,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2020-01-27T13:36:33,Unknown,,false,,A9DA40B4-6DCE-451F-A417-425123969550
8608,0.00,,,,,,,1983-01-01,,MN. State Bar Association,,,Good,,,0,,,0.00,0.00,,1983,"11.'""x8.5""x.875"" yellow, brown, white and black paper book '"" The first Hundred Years... The Minnesota State Bar Associtation"" Published by the North Central Publishing Company.  Letters attached to the sheet from Mn State Bar Association, which accompanied the book.",Good,1983,,,0,,,,,,,,,8: Communication Artifact,research lib,0,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,1983-01-01,"Object is marked and has a category card.
object inventoried 2003",,8608,book,,,,,,Documentary Artifact,,,,,,,,Bequest,01011983,MN State Bar Association,,,,RCHS,,,,OK,,,,,,,,,,,,,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2011-11-01T12:16:58,Unknown,,false,,A98AF517-41FD-4CF0-92ED-631114214068
8609,0.00,,,,,,,,"Communication Artifact
Documentary Artifact",Unknown,,,Good,,,0,,,0.00,0.00,,1970,"10.875""x7.875""x1.125"" blue, gold, black and white paper and cloth book "" The Centennial History of Lyon county Minnesota"" by Torgney Anderson Published by Henle Publishing Co.",Good,1970,,,0,,,,,,,,,8: Communication Artifact,"Research RM, Book Case 3, Shelf -2",1,,,,,,0.00,,,,,,0,0,,,,,,0,,,,,,,0,,,"Object is marked and has a category card.
object inventoried 2003",,8609,Book,,,,,,Documentary Artifact,Unknown,,,,,,,Bequest,unknown,unknown,,,,RCHS,,,,OK,"Swanson, Edie",2020-01-13,"book 
hardcover
history
Lyon
County
Minnesota","book 
hardcover
history
Lyon
County
Minnesota",,,,,,,,Centennial Histoey of Lyon County Minnesota,,,,,,,,,,,,0,0.00,0.00,0.000,0.000,,,,,,,,,,,,,,2020-01-13T12:45:13,Unknown,,false,,A5499FDB-CFD7-47C6-A952-718320306054
